Text Instruction,Label
Analyze the image and distinguish where the inflammation is.,Classification
"This image contains a mitosis, evaluate it.",Classification
"Find, then highlight the mucin for classification.",Segmentation
Analyze the image and encircle and categorize where the er positive is.,Both
"Observe and outline the clear cells, noting key features.",Segmentation
"This image contains a er positive, assess it.",Classification
Your objective is to draw boundary the hypertrophy efficiently.,Segmentation
Scan the image and circle the hemorrhage accurately.,Segmentation
Your objective is to find out if there are {obj}s or not. locate them if there is any present. the carcinoma in situ efficiently.,Both
Can you spot and recognize the cell detection in this picture?,Both
Mark and determine the signet ring cells.,Both
Draw boundary where the mitosis is located in this image.,Segmentation
Identify and analyze where the hemorrhage is located in this image.,Both
"Observe and assess the tissue, noting key features.",Classification
Observe and determine the correct boundaries of the tubules.,Classification
"Is there any pleomorphism in the region? If yes, mark out.",Both
"Observe and recognize the atypia, noting key features.",Classification
Determine where the tubules is located in this image.,Classification
Analyze the image and locate where the inflammation is.,Segmentation
"Your task is to judge the pleomorphism, can you do it?",Classification
Can you determine the atrophy in this picture?,Classification
"Find, then detect and classify the cell detection for classification.",Both
Encircle and categorize and highlight the neutrophilic infiltrate to improve detection.,Both
Determine and highlight the tumor budding to improve detection.,Classification
"Circle and indicate the hyperplasia, making it clearer.",Segmentation
Analyze the image and detect and classify where the hemorrhage is.,Both
Mark and determine the correct boundaries of the tissue.,Segmentation
Can you locate and check the dysplasia in this picture?,Both
"Your task is to recognize the tumor budding, can you do it?",Classification
"Verify and indicate the hypertrophy, making it clearer.",Classification
Your objective is to map the apoptosis efficiently.,Segmentation
Inspect the hypertrophy.,Classification
Recognize and determine the correct boundaries of the necrosis.,Classification
Encircle the exact location of the clear cells in the given scene.,Segmentation
"Your objective is to is there any {obj} in the region? if yes, mark out. the apoptosis efficiently.",Both
"Your task is to highlight and confirm the metastasis, can you do it?",Both
Trace the pleomorphism and label it properly.,Segmentation
"Please encircle the hemorrhage, we need the data.",Segmentation
Encircle and categorize and highlight the metaplasia to improve detection.,Both
Scan the image and find out if there are {obj}s or not. locate them if there is any present. the cell detection accurately.,Both
"Help us identify and analyze the cell detection, it's important.",Both
We need to distinguish the mitotic figures for further analysis.,Classification
"Your task is to separate the hyperplasia, can you do it?",Segmentation
"Find, then encircle the gangrenous necrosis for classification.",Segmentation
Map the fibrosis.,Segmentation
"Observe and mark and determine the tumor budding, noting key features.",Both
Encircle and categorize the atrophy.,Both
"Verify and indicate the fibrosis, making it clearer.",Classification
Scan the image and identify the carcinoma in situ accurately.,Segmentation
Your objective is to distinguish and highlight the tissue efficiently.,Both
We need to confirm the nontumor for further analysis.,Classification
Analyze the image and mark where the hypertrophy is.,Segmentation
Your objective is to determine the sheets efficiently.,Classification
Analyze the image and trace where the cell detection is.,Segmentation
Trace the er negative and label it properly.,Segmentation
"This image contains a apoptosis, detect it.",Segmentation
Assess the area containing the pleomorphism with precision.,Classification
"Observe and distinguish the dysplasia, noting key features.",Classification
Outline and verify the exact location of the tumor budding in the given scene.,Both
"Find, then verify the signet ring cells for classification.",Classification
"Help us outline the lymphocytic infiltrate, it's important.",Segmentation
"Help us highlight and confirm the hyperplasia, it's important.",Both
"Observe and highlight and confirm the tumor, noting key features.",Both
"Observe and highlight and confirm the nontumor, noting key features.",Both
Analyze the image and delimit where the hemorrhage is.,Segmentation
"Find, then detect and classify the dysplasia for classification.",Both
Your objective is to trace the sheets efficiently.,Segmentation
"Your task is to inspect the signet ring cells, can you do it?",Classification
"This image contains a lymphocytic infiltrate, judge it.",Classification
Analyze the image and identify and analyze where the apoptosis is.,Both
Map the nontumor.,Segmentation
"Observe and inspect the edema, noting key features.",Classification
We need to observe the gangrenous necrosis for further analysis.,Classification
Observe the area containing the apoptosis with precision.,Classification
"Help us spot the hyperplasia, it's important.",Segmentation
"Help us outline and verify the mucin, it's important.",Both
Detect the neutrophilic infiltrate.,Segmentation
Can you sketch the granulation tissue in this picture?,Segmentation
Analyze the image and mark and determine where the metastasis is.,Both
"Please is there any {obj} in the region? if yes, mark out. the tissue, we need the data.",Both
"This image contains a mitosis, mark and determine it.",Both
Detect the exact location of the dysplasia in the given scene.,Segmentation
