Text Instruction,Label
"Is there any {obj} in the region? If yes, mark out. and indicate the cytoplasmic atypia, making it clearer.",2
"Is there any {obj} in the region? If yes, mark out. the dysplasia and label it properly.",2
"Your task is to distinguish and highlight the invasive carcinoma, can you do it?",2
"Your task is to outline and verify the tumor, can you do it?",2
Can you separate the hemorrhage in this picture?,1
Scan the image and outline the metaplasia accurately.,1
We need to circle the fibrosis for further analysis.,1
Scan the image and recognize the hemorrhage accurately.,0
Highlight and confirm the metastasis and label it properly.,2
"Please outline the dysplasia, we need the data.",1
"Please find out the hyperplasia, we need the data.",0
"Your task is to diagnose the calcification, can you do it?",0
Confirm the nontumor and label it properly.,0
"Your task is to encircle and categorize the er negative, can you do it?",2
Assess the calcification and label it properly.,0
"Observe and judge the mucin, noting key features.",0
"This image contains a tumor, circle it.",1
Analyze the image and spot where the blood cells is.,1
Assess the area containing the fibrosis with precision.,0
"Help us mark the metaplasia, it's important.",1
Analyze the image and identify and analyze where the mitosis is.,2
Locate and check the sheets and label it properly.,2
"Your task is to trace the granulation tissue, can you do it?",1
Check where the dysplasia is located in this image.,0
Find out if there are carcinoma in situs or not. Locate them if there is any present.,2
Detect and classify the area containing the tumor with precision.,2
Your objective is to locate the tissue efficiently.,1
Assess and highlight the atrophy to improve detection.,0
Locate where the er positive is located in this image.,1
"Find, then highlight the lymphocytic infiltrate for classification.",1
Analyze the image and find out if there are {obj}s or not. locate them if there is any present. where the gangrenous necrosis is.,2
Analyze the image and confirm where the invasive carcinoma is.,0
Analyze the image and verify where the neutrophilic infiltrate is.,0
Analyze the image and mark where the granulation tissue is.,1
"Your task is to highlight the invasive carcinoma, can you do it?",1
"Your objective is to is there any {obj} in the region? if yes, mark out. the blood cells efficiently.",2
Categorize and highlight the mitotic figures to improve detection.,0
Can you evaluate the metaplasia in this picture?,0
Encircle where the hyperplasia is located in this image.,1
Scan the image and delimit the sheets accurately.,1
Check the area containing the fibrosis with precision.,0
Trace where the invasive carcinoma is located in this image.,1
Categorize and highlight the cell detection to improve detection.,0
Highlight and confirm the exact location of the metastasis in the given scene.,2
Circle and determine the correct boundaries of the blood cells.,1
"Scan the image and is there any {obj} in the region? if yes, mark out. the nontumor accurately.",2
Analyze the image and detect where the cell detection is.,1
"Your task is to diagnose the nontumor, can you do it?",0
"Please mark and determine the nontumor, we need the data.",2
"Please check the hemorrhage, we need the data.",0
We need to determine the cytoplasmic atypia for further analysis.,0
Your objective is to delimit the fibrinoid necrosis efficiently.,1
"Find, then identify and analyze the apoptosis for classification.",2
Encircle and categorize the neutrophilic infiltrate.,2
Your objective is to highlight the metaplasia efficiently.,1
"Spot and indicate the hyperplasia, making it clearer.",1
"Observe and indicate the tubules, making it clearer.",0
"Is there any cytoplasmic atypia in the region? If yes, mark out.",1
We need to identify and analyze the edema for further analysis.,2
Analyze the image and evaluate where the necrosis is.,0
"Detect and indicate the neutrophilic infiltrate, making it clearer.",1
Can you sketch the gangrenous necrosis in this picture?,1
"Observe and outline the clear cells, noting key features.",1
Analyze the image and detect where the tumor budding is.,1
Determine and highlight the lymphocytic infiltrate to improve detection.,0
We need to verify the mitosis for further analysis.,0
"This image contains a metastasis, is there any {obj} in the region? if yes, mark out. it.",2
Inspect the fibrosis and label it properly.,0
Check the exact location of the fibrinoid necrosis in the given scene.,0
"This image contains a tubules, recognize it.",0
"Please recognize the lymphocytic infiltrate, we need the data.",0
"Observe and sketch the hypertrophy, noting key features.",1
Your objective is to circle the hypertrophy efficiently.,1
Can you find out the tissue in this picture?,0
"Is there any neutrophilic infiltrate in the region? If yes, mark out.",0
Outline and verify and highlight the inflammation to improve detection.,2
Your objective is to outline the hyperplasia efficiently.,1
"Help us locate and check the granulation tissue, it's important.",2
"Help us confirm the lymphocytic infiltrate, it's important.",0
Diagnose and determine the correct boundaries of the mitosis.,0
"Please trace the apoptosis, we need the data.",1
We need to spot and recognize the pleomorphism for further analysis.,2
"Verify and indicate the atrophy, making it clearer.",0
Highlight and confirm the area containing the hyperplasia with precision.,2
Encircle the exact location of the mitosis in the given scene.,1
Analyze the tubules and label it properly.,0
Distinguish and highlight the area containing the tumor with precision.,2
Your objective is to sketch the mitosis efficiently.,1
"Help us outline and verify the er negative, it's important.",2
Scan the image and find out if there are {obj}s or not. locate them if there is any present. the neutrophilic infiltrate accurately.,2
Your objective is to find out if there are {obj}s or not. locate them if there is any present. the carcinoma in situ efficiently.,2
"Help us encircle the tumor, it's important.",1
"Is there any tissue in the region? If yes, mark out.",1
"Your task is to detect the tubules, can you do it?",1
Check and determine the correct boundaries of the signet ring cells.,0
"Your task is to outline the carcinoma in situ, can you do it?",1
Evaluate and determine the correct boundaries of the gangrenous necrosis.,0
Analyze the image and identify and analyze where the granulation tissue is.,2
